conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,code,courseTopicSimilarity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,knowledge,sector-specific,WizIQ,"WizIQ program
WizIQ e-learning platform
WizIQ programme",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program WizIQ is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs.",0413,0.4652937
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,knowledge,cross-sector,systems development life-cycle,application development life-cycle,,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The sequence of steps, such as planning, creating, testing and deploying and the models for the development and life-cycle management of a system.",0613,0.5924401
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,knowledge,cross-sector,transportation software related to an ERP system,"transportation software related to an ERP programme
transportation software relating to ERP systems
transportation software relating to an ERP system
transportation software related to ERP systems
transportation software related to ERP operations
transportation software related to an ERP data
transportation software related to ERP administration",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Business management software to collect, manage and interpret data related to shipping, payment, inventory, manufacturing applied in transportation and distribution.",0413,0.47128037
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,skill/competence,transversal,write Javanese,"correspond in written Javanese
show competency in written Javanese
correspond in written basa jawa
correspond in written cara jawa",,released,2025-01-27T15:14:13.362Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",Compose written texts in Javanese.,T1.1,0.19110069
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,knowledge,sector-specific,Agile project management,Agile management software,,released,2025-04-16T09:45:22.199Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",0413,0.51527596
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,knowledge,sector-specific,network management system tools,network management system components,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The software or hardware tools which enable monitoring, analysis and supervision of individual network components or network parts within a larger network system.",0714,0.4576562
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0af529ff-a95d-419b-ab2a-335f6894a966,skill/competence,cross-sector,maintain logistics databases,"ensure logistics databases remain up to date
update logistics databases
update logistical databases
keep logistics databases
maintain logistical databases
keep logistical databases
perform logistics database maintenance activities
ensure logistical databases remain up to date
maintain databases of logistics information
carry out logics database maintenance activities
maintain databases of logistical information",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Maintain databases accessible to users in the logistics and storage sub-sector.,S5.5.2,0.4680088
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0c66036a-3bdd-4955-8343-985f4697af64,skill/competence,cross-sector,manage donor database,"create and update donor database
handle donor database
manage donor databases
manage database of donors
create and update donor databases",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Create and constantly update the database containing personal details and status of donors.,S5.5.2,0.5664025
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,knowledge,sector-specific,Ruby (computer programming),Ruby,,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Ruby.",0613,0.53130233
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,knowledge,sector-specific,Common Lisp,Common Lisp programming language,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Common Lisp.",0613,0.58307195
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,knowledge,sector-specific,Lisp,"Lisp software development principles
Lisp algorithms
Lisp software development techniques
Lisp programming paradigms
Lisp coding techniques",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Lisp.",0613,0.55049855
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0de6bca4-f3aa-452a-8e10-d355b2c1bfc4,skill/competence,cross-sector,develop electronic test procedures,"developing electronic test protocols
electronic test protocols developing
develop electronic test protocols
developing electronic test procedures
electronic test procedure developing
electronic test procedures developing
electronic test protocol developing",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Develop testing protocols to enable a variety of analyses of electronic systems, products, and components.",S4.1.3,0.48163027
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e0c9c11-b39e-43cf-ba95-2fe646f5de64,skill/competence,cross-sector,identify customer requirements,"write research applications
gather and define user requirements
categorise customer requirements",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Apply techniques and tools, such as surveys, questionnaires, ICT applications, for eliciting, defining, analysing, documenting and maintaining user requirements from system, service or product.",,0.4987334
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,skill/competence,cross-sector,analyse decentralised applications,analyse dApps,,released,2023-11-29T16:35:45.447Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Analyse decentralized applications for their specific performance requirements in terms of key functions and properties such as identify management, access control, data security, transparency, performance, scalability, and maintainability.",S1.11.1,0.48642817
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ee7b0d6-db98-4785-9948-f2ef415d155a,skill/competence,cross-sector,write research proposals,write research applications,,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Synthetise and write proposals aiming to solve research problems. Draft the proposal baseline and objectives, the estimated budget, risks and impact. Document the advances and new developments on the relevant subject and field of study.",S1.13.3,0.46265316
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9,knowledge,sector-specific,ethical hacking principles,ethical hacking techniques,,released,2023-11-02T17:20:57.26Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The set of actions that are carried out to detect vulnerabilities within a computerised system in order to improve security within an organisation. They aim to identify and address data breaches and threats in a network.,0612,0.45127106
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,knowledge,sector-specific,software UI design patterns,"software user interface design patterns
solutions for software user interface tasks
best practices for software user interface tasks
solutions for software UI tasks
software UI design best practices",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The reusable solutions and formalised best practices to solve common user interface tasks in software development and design.,0611,0.51624405
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/114c9698-c999-4369-8498-81bf641fe871,skill/competence,occupation-specific,establish an ICT security prevention plan,,,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Define a comprehensive and proactive strategy for managing information and communication technology (ICT) security risks by establishing a set of measures and responsibilities to ensure the confidentiality, integrity and availability of information. Implement policies to prevent data breaches, detect and respond to unauthorised access to systems and resources, including up-to-date security applications and employee education.",S5.2.2,0.48145413
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12b7d5a1-1ad4-45dc-b0fa-b31d1eb2c79a,skill/competence,occupation-specific,maintain pricing database,"sustain pricing database
maintain pricing databases
preserve pricing database
maintaining a pricing database
control pricing database
manage pricing database
maintain a pricing database",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Maintain internal and external database to ensure that all pricing data are permanently accurate and up-to-date.,S5.5.2,0.4841618
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13666d7d-41a8-42b6-80ba-34ea6a64667f,knowledge,occupation-specific,particle animation,"particle animation software
particles movement simulation
particle simulation software
particle based animation",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The field of particle animation, an animation technique in which large numbers of graphic objects are used to simulate phenomena, such as flames and explosions and 'fuzzy phenomena' that are difficult to reproduce using conventional rendering methods.",0211,0.53182244
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,knowledge,sector-specific,Visual Basic,"VB.NET
.NET
Visual Studio .NET
Visual Studio
VB",,released,2025-04-16T09:55:37.546Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Visual Basic.",0613,0.52030754
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14062e1c-6540-4cb6-b343-ad419e3d10ac,knowledge,sector-specific,blockchain components,"blockchain
blockchain concepts",,released,2023-11-29T16:33:52.245Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The study of essential blockchain components and concepts such as peer networks, smart contracts, memberships, events, ledgers, system integration, wallets, and system management.",0612,0.4801974
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,skill/competence,cross-sector,solve technical problems,"resolve technical issues
diagnose technical problems",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/digcomp","Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",S5.6.1,0.5163353
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,knowledge,sector-specific,Adobe Photoshop,"Adobe Photoshop Elements
Adobe Photoshop CC","Adobe Photoshop CS3
Adobe Photoshop CS5
Adobe Photoshop CS4
Adobe Photoshop CS6",released,2023-06-08T15:19:09.883Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,S1.12.1,0.48612976
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e,skill/competence,sector-specific,implement ICT security policies,"implementing computer network safety policies
implementing ICT safety policies
implement computer network safety policies
implement ICT safety policies
implement computer network security policies
apply on-line safety guidelines
ICT safety policies implementing
apply on-line security guidelines
on-line security guidelines applying
on-line safety guidelines applying",,released,2023-04-12T15:11:35.126Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Implement statements, assertions or rules that specify the appropriate use and protection of the ICT assets and systems from an organisation. These ICT security policies cover topics such as data classification, password management, access control and incident response.",S5.2.2,0.5423968
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14fdac88-6d4a-4e47-9df5-02c6d1e86fdd,knowledge,sector-specific,IBM InfoSphere DataStage,"Cognos Data Manager
InfoSphere DataStage MVS Edition
IBM InfoSphere DataStage Workgroup Edition",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program IBM InfoSphere DataStage is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company IBM.",0612,0.4502623
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1500f1a7-d348-4d9e-b0a0-5792645f6c7a,skill/competence,transversal,understand written Javanese,"interpret written Javanese
make sense of written Javanese
read Javanese
understand Javanese writing
comprehend written basa jawa
comprehend written Javanese
comprehend written cara jawa",,released,2025-01-27T15:10:01.807Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",Read and comprehend written texts in Javanese.,T1.1,0.14927927
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/172020d1-e151-445b-8173-e2a5fb16fe51,skill/competence,sector-specific,utilise computer-aided software engineering tools,"utilise CASE tools for software design
utilize CASE tools for software design
utilize computer-aided software engineering tools
utilise CASE tools
use CASE tools",,released,2024-02-23T09:38:31.552Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use software tools (CASE) to support the development lifecycle, design and implementation of software and applications of high-quality that can be easily maintained.",S5.1.0,0.66985166
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1859883d-c047-4fe1-8e74-7bb4385d6ad2,skill/competence,sector-specific,apply 3D imaging techniques,"create 3D vector graphics
apply curve modelling
apply digital scuplting
edit point clouds
implement 3D imaging techniques",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes.",S5.6.4,0.6113061
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,knowledge,sector-specific,Java (computer programming),"Java 2
Java 2 enterprise edition
Java",,released,2025-04-16T10:01:06.975Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Java.",0613,0.54205453
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522,skill/competence,cross-sector,use data processing techniques,"use a data processing technique
apply data processing technique
make use of data processing techniques
utilize data processing techniques
gather and analyse data",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Gather, process and analyse relevant data and information, properly store and update data and represent figures and data using charts and statistical diagrams.",S5.5.2,0.45648313
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bba98a7-92b9-450b-9235-e0c905f8f3c4,knowledge,sector-specific,information architecture,"data architecture
information system design",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The methods through which information is generated, structured, stored, maintained, linked, exchanged and used.",0612,0.49102518
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa,knowledge,sector-specific,cloud security and compliance,"cloud safety and compliance
cloud safety
cloud security
cloud compliance",,released,2022-07-05T14:37:59.932Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Cloud security and compliance concepts, including shared responsibility model, cloud access management capabilities, and resources for security support.",0612,0.4797433
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d58c862-1100-438a-bea7-34e0c2a36055,knowledge,sector-specific,analytical methods in biomedical sciences,"mathematical and analytical methods in biomedical science
analytical methods in biomedical science
research methods in biomedical science
analytical method in biomedical sciences",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The various research, mathematical or analytical methods used in biomedical sciences.",0541,0.45721558
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d86f05e-e9cc-40ce-99d8-2b21cc71b16b,knowledge,sector-specific,solution deployment,"implementation of solutions
software solution deployment",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The technologies and standards to be used during the installation, deployment and maintenance of software characteristics.",0612,0.56442153
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1df7bd8e-b961-4d6e-b2f3-db92b14dd460,skill/competence,occupation-specific,organise study information sessions,"organises study information sessions
organize study information sessions
plan study information sessions
organise study information session
organising study information sessions
arrange study information sessions
manage study information sessions",,released,2016-12-20T18:28:03Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Organise events such as group presentation or educational fair in order to provide information about study and career possibilities to a large audience.,T4.2,0.48244488
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/206f5738-e91f-4390-84a2-fcb864bc11b1,skill/competence,cross-sector,use specialised computer models for weather forecasting,"utilise specialised computer modelling software for weather forecasting
anticipate weather conditions through use of computer models
use specialized computer models for weather forecasting
utilise specialised computer models for weather forecasting
develop weather forecasts using computer models
anticipate weather conditions through use of computer modelling software
develop long and short term weather forecasts using computer models
use specialised computer modelling software for weather forecasting
utilise specialised computer models for weather forecasts
use specialised computer models for weather forecasts
develop long and short term weather forecasts using computer modelling software",,released,2022-07-05T14:34:21.232Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Make short-term and long-term weather forecasts applying physical and mathematical formulae; understand specialised computer modelling applications.,S2.8.5,0.46274936
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/209a5498-3449-4689-8ed9-bd08cab4fd78,knowledge,cross-sector,engineering principles,"engineering fieldwork principles
engineering work principles
engineering research principles
engineering principle
engineering analysis principles
engineering application principles
engineering studies principles",,released,2024-02-09T17:29:17.515Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The engineering elements like functionality, replicability, and costs in relation to the design and how they are applied in the completion of engineering projects.",0710,0.5105586
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2164e860-7f20-48bc-b98c-5d9f8a561550,skill/competence,sector-specific,design computer network,"design LAN
design wide area network
design WAN
design local area network",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Develop and plan ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data and assess their capacity requirements.",S1.11.1,0.4527156
