conceptType,conceptUri,preferredLabel,status,description,level,category,code
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fde51ec-cfbd-4cba-a528-db43554b9712,perform currency reserve management,released,Administer the bank's gold and currency holdings which are used as a way to settle international debts or to influence the national exchange rate.,5,S,S4.3.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fe4c04b-30b6-4d6e-8588-458a145145a3,display medical problems,released,Emphasize significant medical issues in a way that the attention of any healthcare professional using the record is directed on them.,5,S,S1.5.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ffdc80e-3fff-45d9-8e5d-5c55d49fddd9,ensure safe operation of railway during repairs,released,"Ensure that all safety measures have been applied when works are being carried out on railway track, bridges, or other components.",5,S,T6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1,think quickly,released,Be able to grasp and process the most important aspects of facts and their connections quickly and accurately.,5,S,T2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2002512b-b7de-4dfd-a5b0-95cda89080d2,instruct in outdoor activities,released,"Instruct students in the theory and practice of one or several outdoor sport activities, usually for recreational purposes, such as hiking, climbing, skiing, snowboarding, canoeing, rafting, or rope course climbing.",5,S,T4.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/200a8387-d67c-43e4-9cdc-44ab592c299e,ensure regulatory compliance in pipeline infrastructures,released,"Ensure that the regulations for pipeline operations are met. Ensure pipeline infrastructure compliance with legal mandates, and compliance with regulations governing the transportation of goods via the pipelines.",5,S,S3.3.7
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2021d875-34fb-45c1-9db9-8e64a383c48f,prepare safety exercises on ships,released,Plan and perform regular safety exercises on passenger and commercial ships; maximise safety in potentially dangerous situations.,5,S,T6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/202d6f30-e630-4b27-a437-ce4e2b8a5d75,manage challenging work conditions during food processing operations,released,Handle stressful and challenging work conditions in a limited time frame to ensure qualitative food and beverage products are created in time.,5,S,T3.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20420f55-29a5-445c-a9a7-398ae6e52f7e,compose stowage plans,released,Compose stowage plans; knowledge of ballast systems and cargo loading process.,5,S,S4.1.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2057cf5f-4aa7-4094-bbf0-819777405eb7,perform bronchoscopy,released,Conduct bronchoscopy to visualise the tracheobronchial tree for both diagnostic and therapeutic purposes.,5,S,S2.1.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2058f70f-af29-460d-b319-9048c6db0d18,show impartiality,released,"Perform duties for disputing parties or clients based on objective criteria and methods, disregarding prejudice or bias, to make or facilitate objective decisions and outcomes.",5,S,S1.1.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2065d166-4d1a-4f0b-a43b-e8a15d366400,specialise in conservation-restoration of specific types of objects,released,"Specialise in the conservation of particular types of objects: paintings, sculptures, rare books, photographs, furniture, textiles, etc.",5,S,S2.7.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2065ebac-6c3d-4474-9978-57a08a8c64a5,adapt sets,released,Adapt and move set pieces during rehearsals and live performances.,5,S,S1.12.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20697183-d42a-45fc-b8ad-03e49bdb7d9e,manage front operations,released,"Monitor daily scheduling of room bookings, following quality standards and resolving special situations in front operations.",5,S,S4.4.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/206f5738-e91f-4390-84a2-fcb864bc11b1,use specialised computer models for weather forecasting,released,Make short-term and long-term weather forecasts applying physical and mathematical formulae; understand specialised computer modelling applications.,5,S,S2.8.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/207f87c4-ac68-4987-990c-636ca19c2626,calculate wages,released,"Calculate the pay of the employees by checking their attendance, sick leave, holidays and overtime in their time sheets. Take the taxes into account and other regulations to calculate the gross and the net.",5,S,S2.6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/208b41bd-3b61-4439-b3ca-d39628dd7fe3,compose digital game story,released,Create a digital game story by writing out a detailed plot and storyboard with descriptions and gameplay objectives.,5,S,S1.13.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/209ec3e1-8738-4b09-8f5c-b1236bb2c019,keep written records of cargo,released,"Keep written records of the quantity of goods loaded or unloaded. Track times, dates and tasks completed.",5,S,T4.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a41697-108d-4231-b230-ea7a16a659a6,liaise with event sponsors,released,Plan meetings with sponsors and event organisers to discuss and monitor upcoming events.,5,S,S4.2.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a7df5e-f388-4073-b3e2-4bf7a4c46f28,ensure implementation of safe driving practices,released,Establish principles and standards of safe driving among staff. Impart information on safe driving practices to staff and ensure that they utilise these in the performance of transport operations.,5,S,T6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,interact professionally in research and professional environments,released,"Show consideration to others as well as collegiality. Listen, give and receive feedback and respond perceptively to others, also involving staff supervision and leadership in a professional setting.",5,S,S1.8.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a9456e-eced-4ad3-88d7-ecc6b6d2bee5,assess transport risks,released,Identify health and safety risks for the transport sector.,5,S,S2.7.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20b6a6ff-4c28-4eac-9fd5-8ea24b8c7cb9,provide osteopathic diagnosis,released,"Provide a diagnosis and an inter-disciplinary or osteopathic treatment/management plan by performing an interview, working with patients to identify physical problems and difficulties resulting from illness, injury, disability or aging and by performing an examination.",5,S,T2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20bed8fd-8e9f-429b-95e3-4dca5c1c2ea0,collaborate with coaching team,released,Collaborate as an specialist in a coaching team in order to maximise the sport practitioner's performance.,5,S,T4.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20c2011f-c389-49cd-972e-a4809db0476c,apply Montessori teaching strategies,released,"Instruct students using Montessori teaching approaches, such as non-structural learning through the use of specially developed learning materials, and encouraging students to explore and learn concepts through discovery.",5,S,S1.3.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20c920d4-7ff7-4676-ba61-3f04490d9416,keep up with the latest information systems solutions,released,"Gather the latest information on existing information systems solutions which integrate software and hardware, as well as network components.",5,S,T3.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20d49797-3104-4198-b224-688f6ddfae8b,process returned timber products,released,"Confirm the type, quantity, and condition of the goods being returned. Ask the client for the reason why the goods are being returned. Provide all relevant details and update the stock control system. Inspect returned goods to confirm the reason for returning the goods. Take the goods to the correct location, and ensure they are kept separately from normal stock.",5,S,S2.4.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20d51474-58e1-4fb3-aec3-57bdc187c5ce,write Turkish,released,Compose written texts in Turkish.,5,S,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20d59c4d-2cb0-4b5d-bbd1-85267f10975c,control grape quality,released,Discuss the quality and quantity of the grapes with viticulturists throughout the growing season.,5,S,S2.8.9
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20d935f9-1c69-408b-b1d2-f90482a3957d,communicate expectations of fight actions,released,"Agree with the director or choreographer on key ideas expected from the fight action and develop them. Convey the key ideas of the other collaborators, designers, etc. Explain choices in a broad perspective. Identify key points to be communicated. Indicate the work method to be used. Explain the rehearsal stages from the start up to the first performance.",5,S,S1.2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20e7c937-a5e5-4a27-bb87-ddda5826f777,liaise with cultural partners,released,"Establish and maintain sustainable partnerships with cultural authorities, sponsors and other cultural institutions.",5,S,S1.2.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20f013ea-748a-40c3-82c6-f839b5175ba5,determine leather goods warehouse layout,released,Select the suitable warehouse layouts according to the specific conditions of the leather goods company. Plan the warehouse layout. Implement the warehouse management system.,5,S,T4.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20f57a7f-b90e-4403-8c77-5ddd89b5835b,prepare lesson content,released,"Prepare content to be taught in class in accordance with curriculum objectives by drafting exercises, researching up-to-date examples etc.",5,S,T4.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21039101-4706-4fe0-a423-e63077cf36d9,maintain court order,released,Ensure that order is kept between the parties during a hearing in court.,5,S,S3.3.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21056f6a-8a85-4eb0-b709-468578b809e0,assess the feasibility of implementing developments,released,"Study developments and innovation proposals in order to determine their applicability in the business and their feasibility of implementation from various fronts such as economic impact, business image, and consumer response.",5,S,S2.7.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/210827e3-3129-45a2-8683-70399f3f561f,order supplies,released,Command products from relevant suppliers to get convenient and profitable products to purchase.,5,S,S4.3.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2111dff8-f830-46ad-80ce-7885893b3134,coordinate events,released,"Lead events by managing budget, logistics, event support, security, emergency plans and follow up.",5,S,S4.2.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/212dfa1d-c3fb-446c-945a-c0827fcbdadb,inspect raw food materials,released,"Inspect raw materials required for the production process, assessing quality and hidden flaws. Verify the origin of the raw materials using the sector defined documents, stamps or marks.",5,S,S2.8.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/212ff284-458e-4837-be1e-66ae0ec2951f,advise on dating,released,"Give clients tips on how to approach someone and how to behave on dates, make suggestions on what to wear and which activities are popular or original to do on a date.",5,S,T4.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21331900-9d2a-4806-9a0c-a1885e16dc3d,perform forest analysis,released,Develop situation analysis reports on biodiversity and genetic resources relevant to forestry.,5,S,S2.7.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2136f9d2-ebb5-4c1f-aa2d-cee24417c5c7,promote equal pay,released,"Promote actions which aim to close the pay gap between the different genders by researching the current circumstances which facilitate the continuance of the pay gap and the fields in which pay gaps persist, as well as promote the inclusion of different genders in professions or fields which are dominated by one gender.",5,S,S3.3.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/213e73d8-5d8b-4728-aec4-93f67459e9da,forecast catering services,released,"Foresee the need, the quality, and the quantity of food and beverages for an event depending on its scope, objective, target group, and budget.",5,S,S4.2.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214c892e-e236-4e5f-9824-47316528cb42,manage habitats to benefit game,released,Develop and apply a habitat management plan.,5,S,S3.3.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214da014-b85e-4bb5-961d-1198a05e6b67,understand written Macedonian,released,Read and comprehend written texts in Macedonian.,5,S,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214f5792-a3a2-4995-a6cf-0fa3a96fc23d,design flying movements,released,Design flying movements for artists in a live performance.,5,S,S1.12.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/215762df-b2b4-40fa-a5e6-3004001cb315,position vehicles for maintenance and repair,released,Place vehicles in the right position (such as on top of a pneumatic lift) for repair and maintenance tasks. Follow safety procedures.,5,S,S4.2.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/215d64d0-a698-4508-b1b4-3d8a56b3ce9e,develop forestry strategies,released,Build up forestry policies in order to enhance their sustainable management and to improve communication linked to forestry operations. These plans are meant to tackle issues regarding correlated environmental and societal changes.,5,S,T2.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2164e860-7f20-48bc-b98c-5d9f8a561550,design computer network,released,"Develop and plan ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data and assess their capacity requirements.",5,S,S1.11.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2167bb42-8f4c-452b-a091-50cf64e46b99,inspect aircraft documentation,released,Inspect documentation of aircraft related to maintenance and airworthiness.,5,S,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/216e05df-4093-4fd9-b29a-52c8f7102adc,check paint consistency,released,"Before application of the paint, check paint viscosity by using viscosity meter.",5,S,S2.8.10
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21743bbb-e44a-4ad5-bfbe-293405285375,operate rail-flaw-detection machine,released,"Operate electric, diesel or steam locomotives to detect and identify rail flaws.",5,S,S2.8.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/218cc765-9451-4538-bab5-871603217c57,propose projects to artist,released,"Find projects suitable for the artist's abilities and needs, propose them to artist, and consult on contracts.",5,S,S4.1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21934d08-3535-4dc2-ae67-fde9fd21dc60,determine internal air quality parameters,released,Apply the knowledge of essential indoor environmental quality parameters to select the most appropriate ones for the Building Management System (BMS).,5,S,S4.1.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21b298f3-370d-4d9a-8601-ccfa7446446e,assist people in contaminated areas,released,"Assist workers in remediation activities as well as people at risk of exposure in safety operations, such as instructing on wearing protective gear, entering and leaving restricted areas, and usage of remediation equipment.",5,S,S3.3.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21b61d11-bfb9-4322-9b5e-31acf5ff0891,sell train tickets,released,"Sell train tickets to railway travellers, taking into account destinations, schedules, and discounts available. Accurately check the validity of a range of tickets.",5,S,S1.6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21bcdc7c-6153-414a-b478-eeca2db2fea6,report harvested fish production,released,Observe and report fish harvest and variations from expected harvest quota.,5,S,T4.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21c35dda-555a-4db7-8984-c01dcd8ad865,adapt to emergency care environment,released,Adapt practice to ensure that needs of patients within the emergency and urgent care environment are met.,5,S,S1.9.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,manage budgets,released,"Plan, monitor, report on the budget and prepare set production budgets.",5,S,T1.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d11c4b-3871-411b-a3c1-b06d31d929f2,arrange permit for market stall,released,"Apply for permission at the local authorities to set up a stall on streets, squares and indoor market places.",5,S,S2.2.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21dc3539-3aeb-474a-856d-4b0abe28da03,coordinate the sale of game,released,Keep records of what animals are killed or caught. Arrange the sale of game.,5,S,S1.6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21dd2c29-5e33-4d7c-a58a-246731f74400,adjust feeder tubes,released,Use wrenches to install and adjust the tubes that carry the gob to the moulds.,5,S,S3.2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21e84b95-0923-480b-87d7-e2f8db0c0f5a,create ceramic work by hand,released,"Hand-build a ceramic piece of work without use of the pottery wheel, using only hand tools.",5,S,S1.12.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21ea63c6-6b2a-4381-9e7d-51ddcf3d5f67,use stenotype machines,released,Recognize the setting of keys in stenotype machines and understand the phonetics of words and syllabes represented in these kinds of machines to allow high typing.,5,S,S2.4.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21fd9112-8abb-4a3d-a933-f84176df97b7,inspect hazardous freight in accordance with regulations,released,"Inspect and take into account regulations on hazardous or delicate freight such as biomedical waste, transplant organs, and blood. Freight may have to cross national borders on its journey to its destination. Comply with legal freight regulations to avoid fines for the transportation company or the organisation that initiated the shipment.",5,S,S2.8.11
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21fe231d-7063-4227-8cda-765d8ce1cf87,inspire enthusiasm for dance,released,"Encourage and enable people, especially children, to become involved in dance and to understand and appreciate it, either privately or in public contexts.",5,S,T4.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead,create project specifications,released,"Define the workplan, duration, deliverables, resources and procedures a project has to follow to achieve its goals. Describe project goals, outcomes, results and implementation scenarios.",5,S,S4.1.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22009da9-5a95-4b71-8c46-e8dcac43620d,change over props,released,"Set, remove, or move props on a stage during a changeover.",5,S,T3.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2203ac44-f4a7-4d34-a55f-1af107415988,understand written Punjabi,released,Read and comprehend written texts in Punjabi.,5,S,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2206af0c-3deb-48c5-a544-b9983d347da3,answer requests for quotation,released,Make up prices and documents for the products that customers may purchase.,5,S,S1.6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/220ab0df-c231-4dc5-9b83-b49b905141fd,enable patients to explore artworks,released,Enable patients to discover and explore works of art and the artistic production process.,5,S,S2.1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22119088-b2ac-4b13-9b3c-5bc01ef3ce72,create enamels,released,"Using samples, create recipes for specific enamels.",5,S,S1.11.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22134337-8baa-4879-adec-d9cdbc02cc27,promote farm products,released,Explain the characteristics of a product and the way it was produced.,5,S,S1.6.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/222137dc-9021-4be8-bb7a-29833e02616a,prepare surveying report,released,"Write a survey report containing information on property boundaries, the height and depth of the terrain, etc.",5,S,T4.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/222bf50b-6739-48b1-a655-658306c3529f,write Romani,released,Compose written texts in Burlgarian Romani.,5,S,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae,maintain relationship with customers,released,"Build a lasting and meaningful relationship with customers in order to ensure satisfaction and fidelity by providing accurate and friendly advice and support, by delivering quality products and services and by supplying after-sales information and service.",5,S,S1.2.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/223dcb57-20cf-4caa-88a3-809df043acbb,assist students with their enrolment,released,Help the accepted students with the enrolment in a certain programme. Prepare legal documents and support the students as they settle in.,5,S,S4.7.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2242a42b-f810-4007-bd9c-e761f863cfd9,handle case evidence,released,"Handle evidence important for a case in a manner compliant with regulations, in order to not affect the state of the evidence in question and to ensure its pristine condition and usability in the case.",5,S,S1.4.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2245cba7-fa4f-47b8-a0cb-3a6b60d703ee,give advice on personal matters,released,"Advise people on love and marriage issues, business and job opportunities, health or other personal aspects.",5,S,T4.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/226e5d40-e28c-46c2-b338-9d1c05e46198,observe products' behaviour under processing conditions,released,Observe the color of fires and pyrometric cones under certain processing conditions such as high temperature.,5,S,T2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2274827b-eeb5-457d-a60f-a3c04aedbc19,manage distribution of destination promotional materials,released,Oversee the distribution of touristic catalogues and brochures.,5,S,S4.2.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/227accd5-5e70-4cc3-8f1c-3f7b52eb6848,interact verbally in Arabic,released,Communicate orally in Arabic.,5,S,T1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/227b7275-5220-4349-b187-01facf00b042,hire background musicians,released,Hire background vocalists and musicians to perform on the record.,5,S,S4.7.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/227b9d79-b9af-4757-ae91-2532434f15ac,create new fight sequences,released,Observe participants in groups or one by one to identify their potential. Create new movements tailored to make full use of performers' potential.,5,S,S1.12.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/228f21a6-3b2c-40d5-bcea-ba7b1fdf92d2,oversee shipment routing,released,"Organise the distribution of the cargo, also known as 'forwarding'. Take into account the instructions of the client and determine where regular routing or various routings may be required.",5,S,S4.2.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22902bf9-cc3f-495b-811a-c441e28e23f6,manage project information,released,Provide accurate and relevant information to all the parties involved in a project on time.,5,S,S2.2.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/229b10cf-6f3a-490c-9706-01c107df0562,facilitate teamwork between students,released,"Encourage students to cooperate with others in their learning by working in teams, for example through group activities.",5,S,S4.6.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22a173f5-868c-4d82-87e6-beed500ce070,prepare tax returns forms,released,Totalise all the deductible tax collected during the quarter or fiscal year in order to fill tax return forms and claim it back to the governmental authorities for declaring taxation liability. Keep the documents and records supporting the transaction.,5,S,T2.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22a1cbbd-58fd-4fda-99f0-e91b688788d8,lead a team in fishery services,released,Direct a fishery or aquaculture team and guide them towards the common goal of completing a variety of fishery related assignments or tasks.,5,S,T4.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22b8039c-c890-4610-9228-5527e3b98f12,set quality assurance objectives,released,"Define quality assurance targets and procedures and see to their maintenance and continued improvement by reviewing targets, protocols, supplies, processes, equipment and technologies for quality standards.",5,S,T3.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22c2af9e-ba0d-4cee-abb6-b6dbef006cd5,motivate employees,released,"Communicate with employees in order to ensure that their personal ambitions are in line with the business goals, and that they work to meet them.",5,S,T4.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22c3b4ff-e2e0-4b40-8f3d-17788c0df295,assist in developing marketing campaigns,released,"Provide assistance and support in all the efforts and actions required to implement a marketing campaign such as contacting advertisers, preparing briefings, setting up meetings, and shopping around for suppliers.",5,S,S4.1.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22ca7fdd-f6e0-473a-b797-a8ac955a319a,comply with railway safety standards,released,Ensure compliance with minimum safety standards for freight cars operated by railway companies subject to European legislation.,5,S,T6.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22cbb90f-0bf1-4c30-98c0-7c9749b4e08d,analyse theatre texts,released,Understand and analyse theatre texts; take an active part in the interpretation of the artistic project; conduct thorough personal research in textual material and dramaturgy.,5,S,T2.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22d363fa-45c0-46fd-a68d-e90182ae9791,evaluate psychological health measures,released,Evaluate the provided psychological health measures in order to assess their impact and their outcomes.,5,S,S2.7.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22d69f7d-cbbf-4098-a5a8-a1b2f73cafb0,inspect overhead power lines,released,"Inspect the structures used in the transmission and distribution of electrical energy, such as the conductors, towers, and poles, to identify damage and need for repairs, and ensure routine maintenance is performed.",5,S,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22f9d9a9-404b-4de7-8467-5ae8ff4b8676,watch for maritime navigation aids,released,"Watch for navigation aids (lighthouses and buoys), obstructions, and other vessels that may be encountered. Interpret navigation aids, communicate information, and take orders from the captain.",5,S,S2.8.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22fedbdc-8103-4ade-9c83-f0f861c8b900,maintain forest inventory,released,Recognise growing crops in forests and woodlands. Record their numbers in a formal inventory. Take measures applying the appropriate techniques.,5,S,S2.8.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23033c54-cc98-47dc-b972-4a8d1646754d,inspect manufacture of rolling stock,released,Inspect manufacturing plants where rolling stock parts are produced to ensure safety and quality control. Ensure that components are manufactured in compliance with safety and design specifications.,5,S,S2.8.11
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/23072dbb-e93b-48ab-8756-c64f74aaab26,apply forest legislation,released,Apply laws that govern activities in forest lands in order to protect resources and prevent harmful actions such as forest clearing and logging.,5,S,S3.3.7
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2307b2e5-433d-4168-b486-fddb2b5ce129,assess heating and cooling systems,released,"Select heating and cooling systems, specifically in relation with the buildings' architectural design and building functions. Discuss the relation between architectural design and selection of heating and cooling systems in a multidisciplinary team.",5,S,S2.7.0
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2313b15d-a9a7-4830-9bcc-fd7df79d842b,enforce financial policies,released,"Read, understand, and enforce the abidance of the financial policies of the company in regards with all the fiscal and accounting proceedings of the organisation.",5,S,S3.3.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/232cde64-186f-4fbe-b2ae-4a68aad70a67,organise wires,released,Apply wire markers and cable labels to identify and organise the wire. Use tie-wrap or cable lace to keep the wires together.,5,S,T3.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/232f854a-f5b9-4d8a-8499-23f59852273c,manage volunteers,released,"Coordinate a staff of volunteers. Manage their tasks, recruitment, programmes and budgets.",5,S,T4.4
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/233be639-bdb5-4099-ab40-96d537d6c1f3,ensure compliance with safety legislation,released,Implement safety programmes to comply with national laws and legislation. Ensure that equipment and processes are compliant with safety regulations.,5,S,S3.3.7
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2342a29c-6965-46dc-bdde-ec0e9d330e6f,inspect staff,released,Inspect staff to ensure correct practices and procedures.,5,S,S4.8.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234415ed-fa53-496a-99ee-2b10d155cdbc,plan aquaculture cage mooring system,released,Plan aquaculture cage mooring system for designated aquatic species.,5,S,S1.11.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2344fb75-9deb-4e6e-b485-3e30df082920,create storyboards,released,Apply story development and plot lines and edit animations to create storyboards that render the flow of the animation. Map out key scenes and develop characters.,5,S,S1.12.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb,use presentation software,released,"Use software tools to create digital presentations which combine various elements, such as graphs, images, text and other multimedia.",5,S,T1.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234d1c8f-c921-483e-9a6e-4fbfc14946dc,manage government funding,released,"Monitor the budget received through government funding, and ensure there are enough resources to cover the costs and expenses of the organisation or project.",5,S,S4.2.3
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2357e4f8-4b42-4969-bd17-cfea963956c0,perform military operations,released,"Perform military operations according to given instructions from superiors, such as battle operations, rescue missions, aid missions, search and intelligence missions or other operations concerning defense.",5,S,S3.3.5
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/235a6894-16ad-42f4-a16a-d0da28e7448c,undertake research in medical genetics,released,"Undertake research to study patterns of genetic variation in human populations, the causes of these variations, and how they influence disease susceptibility, studying gene-gene and gene-environmental interactions in multifactorial diseases and chromosomal abnormalities, gene expression in early human development, and the influence of genes on behaviour.",5,S,T4.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/235b15d9-5ccd-4406-8993-f6dd0de2c4c9,provide advice to farmers,released,Provide technical and economical advice in order to optimise the quality and production of agricultural products.,5,S,T4.2
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/236c446a-f4ff-4893-850a-0d93250c551f,adjust measuring machines,released,"Adjust the tension and the position of the belt on the measuring machines` spindles, following the belt-size chart specifications.",5,S,T6.6
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/236e368e-28ff-469e-b3c0-e1d364f5da71,research immune system malfunctions,released,Examine why the immune system fails and what causes disease.,5,S,S2.1.1
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/237420c1-1882-4ce0-aa48-41a8e61977e5,understand spoken Vietnamese,released,Comprehend orally expressed Vietnamese.,5,S,T1.1
